년월,생태구역,연안명칭,"St.
No
",해수수질기준,표층DO,저층DO,표층DIN,저층DIN,표층DIP,저층DIP,표층Chl-a,저층Chl-a,표층투명도,수거량
201702.0,동해,후포연안,1,1.0,9.23831936371259,9.205368417906259,49.252,45.024,7.967,7.564,1.098,0.8240000000000001,11.0,420.64516129032256
201702.0,동해,후포연안,2,1.0,8.84589517835135,8.796604278567619,69.86,72.57600000000002,9.889,8.804,0.5920000000000001,0.5539999999999999,12.0,420.64516129032256
201702.0,동해,축산연안,1,1.0,9.07480928647874,9.04186276217081,55.258,52.962,9.796,9.269,0.924,0.662,13.0,420.64516129032256
201702.0,동해,축산연안,2,2.0,8.878597193798118,8.51864466381734,60.522,96.056,10.075,8.954,0.368,0.0504,15.0,420.64516129032256
201702.0,동해,강구연안,1,1.0,9.20561734826582,9.2544201146269,52.962,59.22,9.176,9.641,0.562,0.918,12.0,420.64516129032256
201702.0,동해,강구연안,2,1.0,9.17291533281905,9.61413255724491,52.066,41.188,8.773,8.152999999999999,0.794,1.3019999999999998,10.5,420.64516129032256
201702.0,동해,월포연안,1,1.0,8.584279054777191,9.04186276217081,51.87,40.712,7.874,6.386,0.0906,0.302,14.0,420.64516129032256
201702.0,동해,월포연안,2,1.0,8.71508711656427,8.63309862283216,60.99800000000001,64.722,9.61,10.788,0.1478,0.374,9.5,420.64516129032256
201702.0,동해,영 일 만,1,2.0,9.15656432509567,9.10726502446499,51.968,51.464,7.688,7.595,0.746,0.778,3.5,420.64516129032256
201702.0,동해,영 일 만,2,2.0,9.4508824641166,9.45062690150945,54.502,40.194,7.409,7.316,0.696,0.83,5.5,420.64516129032256
201702.0,동해,영 일 만,3,2.0,9.36912742549967,9.36887407364172,44.632,53.62,7.409,7.471,0.6859999999999999,0.7140000000000001,5.5,420.64516129032256
201702.0,동해,영 일 만,4,2.0,9.32007440232952,9.31982237692109,48.846,44.072,7.409,7.409,0.7,0.742,5.0,420.64516129032256
201702.0,동해,영 일 만,5,2.0,9.07480928647874,9.2544201146269,35.616,38.164,7.564,7.626,0.564,0.804,6.5,420.64516129032256
201702.0,동해,영 일 만,6,2.0,9.15656432509567,9.074563893317901,39.088,40.74,7.564,7.532999999999999,0.718,0.818,6.0,420.64516129032256
201702.0,동해,영 일 만,7,2.0,9.042107271031972,9.28712124577399,50.624,47.838,7.502000000000002,7.657,0.6779999999999999,0.878,7.0,420.64516129032256
201702.0,동해,영 일 만,8,2.0,9.091160294202119,9.090914458891447,60.04600000000001,33.908,7.75,7.502000000000002,0.754,0.794,7.5,420.64516129032256
201702.0,동해,영 일 만,9,1.0,8.86224618607473,9.00916163102371,50.834,34.426,7.843,7.657,0.382,0.362,10.0,420.64516129032256
201702.0,동해,영 일 만,10,1.0,8.89494820152151,8.812954844141167,37.45,40.25,7.502000000000002,7.657,0.232,0.464,9.0,420.64516129032256
201702.0,동해,영 일 만,11,2.0,9.042107271031972,9.434276335935909,46.788,32.732,7.75,7.409,0.408,0.748,7.0,420.64516129032256
201702.0,동해,영 일 만,12,1.0,8.67,8.56,60.522,51.646,8.152999999999999,8.029,0.0318,0.0326,9.5,420.64516129032256
201702.0,동해,구룡포연안,1,1.0,8.47969163187535,8.54622975130459,78.848,66.416,10.571,8.525,0.364,0.308,10.0,420.64516129032256
201702.0,동해,구룡포연안,2,1.0,8.54646085732319,8.41269491144045,81.704,73.038,11.191,10.664,0.1704,0.236,12.0,420.64516129032256
201702.0,대한해협,감포연안,1,1.0,8.529768550961231,8.47946233137252,102.312,89.054,10.292,9.796,0.1468,0.32,10.0,1694.4761904761906
201702.0,대한해협,감포연안,2,1.0,8.212614730083999,8.29585192655933,82.81,97.72,7.657,9.331,0.316,0.334,11.5,1694.4761904761906
201702.0,대한해협,감포연안,3,1.0,8.47969163187535,8.42938676642347,89.992,81.83,9.517,7.471,0.228,0.39,7.0,1694.4761904761906
201702.0,대한해협,감포연안,4,1.0,8.62992238913299,8.59630531625364,88.94200000000002,100.66,8.152999999999999,11.47,0.366,0.23,7.5,1694.4761904761906
201702.0,대한해협,울산연안,1,1.0,8.47969163187535,8.51284604133855,139.02,106.96,15.252,10.788,0.396,0.392,5.5,3310.909090909091
201702.0,대한해협,울산연안,2,1.0,8.67999930821886,8.81329943103286,137.018,96.6,12.524,8.866,0.0448,0.222,7.0,3310.909090909091
201702.0,대한해협,울산연안,3,2.0,8.64661469549495,8.69645644615174,325.696,151.536,26.35,10.23,0.1048,0.1628,2.0,3310.909090909091
201702.0,대한해협,울산연안,4,3.0,8.09576858555029,8.2624682165933,420.476,309.008,31.155,13.888,0.1596,0.1636,1.5,3310.909090909091
201702.0,대한해협,울산연안,5,3.0,8.69669161458083,8.74653201110079,400.26,183.918,27.28,11.036,0.0916,0.132,1.8,3310.909090909091
201702.0,대한해협,울산연안,6,3.0,8.47969163187535,8.396003056457442,412.104,260.022,29.636,12.059,0.2052,0.1272,1.5,3310.909090909091
201702.0,대한해협,울산연안,7,3.0,8.529768550961231,8.42938676642347,374.066,236.124,26.846,12.555,0.0538,0.0758,2.0,3310.909090909091
201702.0,대한해협,울산연안,8,3.0,8.3795377937036,8.04547410181409,426.048,298.998,26.877,11.16,0.1612,0.106,1.5,3310.909090909091
201702.0,대한해협,울산연안,9,1.0,8.49638393823731,8.4627704763895,183.092,121.758,19.034,9.331,0.0458,0.1256,3.5,3310.909090909091
201702.0,대한해협,울산연안,10,1.0,8.56315316368515,8.59630531625364,165.116,127.204,16.709,10.044,0.0374,0.174,3.5,3310.909090909091
201702.0,대한해협,울산연안,11,2.0,8.529768550961231,8.59630531625364,294.266,190.974,25.389,10.571,0.278,0.1624,2.0,3310.909090909091
201702.0,대한해협,울산연안,12,1.0,8.529768550961231,8.67976459116872,127.89,139.958,13.547,9.889,0.0444,0.066,3.0,3310.909090909091
201702.0,대한해협,온산연안,1,2.0,8.54646085732319,8.51284604133855,313.824,171.37400000000005,23.033,9.796,0.232,0.0782,2.5,1694.4761904761906
201702.0,대한해협,온산연안,2,1.0,8.529768550961231,8.82999128601587,134.638,112.896,15.252,9.238,0.0312,0.0336,3.5,1694.4761904761906
201702.0,대한해협,온산연안,3,1.0,8.66330700185691,8.212392651644251,144.592,134.064,15.314,12.431,0.0784,0.1616,8.0,1694.4761904761906
201702.0,대한해협,온산연안,4,2.0,8.59653777640907,8.529537896321571,305.438,242.452,23.436,11.47,0.1918,0.1274,2.3,1694.4761904761906
201702.0,대한해협,온산연안,5,2.0,8.42961471278948,8.529537896321571,304.136,194.348,23.777,9.238,0.21600000000000005,0.1278,2.0,1694.4761904761906
201702.0,대한해협,온산연안,6,2.0,8.61323008277103,8.59630531625364,301.6020000000001,197.134,22.692,10.23,0.1326,0.1202,2.0,1694.4761904761906
201702.0,대한해협,온산연안,7,1.0,8.61323008277103,8.6630727361857,222.446,163.898,20.057,10.385,0.0372,0.0636,3.0,1694.4761904761906
201702.0,대한해협,온산연안,8,1.0,8.56315316368515,8.59630531625364,208.404,153.65,18.321,10.199,0.0376,0.102,4.2,1694.4761904761906
201702.0,대한해협,온산연안,9,2.0,8.529768550961231,8.42938676642347,192.458,151.27,19.716,10.168,0.0464,0.1096,2.0,1694.4761904761906
201702.0,대한해협,기장연안,1,1.0,8.76317185994043,8.57013728026645,96.362,85.97399999999998,9.083,7.7189999999999985,0.1218,0.966,4.2,1694.4761904761906
201702.0,대한해협,기장연안,2,1.0,8.832309310511949,8.54876313899468,90.076,86.492,9.455,8.432,0.1114,0.252,3.5,1694.4761904761906
201702.0,대한해협,기장연안,3,1.0,8.1755035300825,8.535580275104081,102.858,91.28,9.238,6.2,0.107,0.326,4.0,1694.4761904761906
201702.0,대한해협,기장연안,4,1.0,9.07429038751228,9.08849235770192,84.686,83.21600000000002,9.393,9.703,0.234,0.244,3.3,1694.4761904761906
201702.0,대한해협,부산연안,1,1.0,9.005152936940759,8.63925129059117,164.65400000000002,84.756,14.57,8.432,0.0928,0.1566,2.7,1730.3921568627454
201702.0,대한해협,부산연안,2,2.0,9.33355582715549,9.08849235770192,165.368,105.602,15.283,10.664,0.406,0.131,2.1,1730.3921568627454
201702.0,대한해협,부산연안,3,1.0,8.4347689697257,8.03450370024979,84.406,81.2,11.036,10.447,0.0784,0.0478,2.7,1730.3921568627454
201702.0,대한해협,부산연안,4,1.0,8.797740585226189,8.75600588175818,96.32,105.784,13.33,13.888,0.0284,0.0364,3.5,1730.3921568627454
201702.0,대한해협,부산연안,5,2.0,8.72860313465467,8.61784405324918,104.314,97.272,12.772,11.253,0.1568,0.1358,1.9,1730.3921568627454
201702.0,대한해협,부산연안,6,1.0,8.60761259615451,8.6351142818128,90.804,89.264,13.733,11.129,0.1028,0.1172,2.3,1730.3921568627454
201702.0,대한해협,부산연안,7,1.0,8.60761259615451,8.47968222474017,80.626,80.86399999999998,11.966,12.431,0.0338,0.0416,2.8,1730.3921568627454
201702.0,대한해협,부산연안,8,2.0,9.09157475015516,9.11868068159432,149.422,163.49200000000005,14.88,15.686,0.1828,0.0904,2.0,1730.3921568627454
201702.0,대한해협,부산연안,9,1.0,8.72860313465467,8.66965473894005,90.03399999999998,88.228,13.237,11.501,0.032,0.0374,2.5,1730.3921568627454
201702.0,대한해협,부산연안,10,1.0,9.610105629441579,10.1203539382846,73.108,55.51,7.471,4.9910000000000005,1.19,0.121,3.6,1730.3921568627454
201702.0,대한해협,부산연안,11,1.0,9.12614347544093,9.1704913672852,110.446,124.838,13.33,14.012,0.0324,0.0278,3.0,1730.3921568627454
201702.0,대한해협,부산연안,12,1.0,8.67675004672603,8.66965473894005,91.756,100.94,12.555,13.515999999999998,0.01826,0.027000000000000003,3.3,1730.3921568627454
201702.0,대한해협,부산연안,13,1.0,8.382915881797059,7.809883166694419,102.228,94.794,12.152,11.315,0.128,0.214,3.5,1730.3921568627454
201702.0,대한해협,부산연안,14,2.0,8.15821916743961,8.50102326994172,131.936,169.134,13.981,13.361,0.0884,0.2824,1.3,1730.3921568627454
201702.0,대한해협,부산연안,15,2.0,7.86438500251065,7.084186058284758,74.354,71.988,9.951,11.532,0.0886,0.0404,3.2,1730.3921568627454
201702.0,대한해협,부산연안,16,1.0,9.07429038751228,8.84659332156536,148.918,100.296,15.345,10.261,0.0318,0.0716,3.0,1730.3921568627454
201702.0,대한해협,부산연안,17,1.0,8.48662205765434,7.70621215120733,143.864,108.318,14.415,10.199,0.0422,0.29,2.6,1730.3921568627454
201702.0,대한해협,낙동강하구,1,1.0,9.005152936940759,8.87689748170356,104.202,448.336,11.501,13.702,0.0884,0.1342,2.5,1694.4761904761906
201702.0,대한해협,낙동강하구,2,1.0,8.866878035797722,8.75600588175818,89.92200000000004,146.81799999999996,10.571,17.329,0.1282,0.256,2.8,1694.4761904761906
201702.0,대한해협,낙동강하구,3,1.0,9.02243729958364,8.87689748170356,93.324,112.332,11.842,11.594,0.1122,0.464,2.7,1694.4761904761906
201702.0,대한해협,낙동강하구,4,1.0,9.31627146451261,9.22230205297607,106.988,75.89399999999998,8.463,9.052,0.021,0.258,3.1,1694.4761904761906
201702.0,대한해협,신항연안,1,3.0,9.955792882299187,9.94765165264835,1094.31,548.268,16.182000000000002,18.011,0.428,0.7440000000000001,0.8,1694.4761904761906
201702.0,대한해협,신항연안,2,2.0,10.128636508728,9.86130050983022,109.48,112.49,5.704,5.301,0.0566,0.452,1.8,1694.4761904761906
201702.0,대한해협,행 암 만,1,1.0,11.1829826299437,10.8629737665205,71.806,66.654,3.193,3.627,2.77,4.82,2.4,1694.4761904761906
201702.0,대한해협,행 암 만,2,2.0,11.718797871872999,11.5365126805019,374.094,131.572,3.007,3.3480000000000003,2.89,5.0,2.8,1694.4761904761906
201702.0,대한해협,행 암 만,3,3.0,11.355826256372499,11.501972223374699,473.802,216.174,4.774,3.565,3.31,5.1,1.8,1694.4761904761906
201702.0,대한해협,행 암 만,4,2.0,11.597807333372801,11.484701994811001,98.084,96.614,3.3480000000000003,2.852,5.42,3.8,2.2,1694.4761904761906
201702.0,대한해협,마 산 만,1,2.0,10.975570278229101,10.6039203380661,93.45,59.122,2.6660000000000004,4.061,6.2879999999999985,8.58,2.1,1694.4761904761906
201702.0,대한해협,마 산 만,2,1.0,11.165698267300801,11.070216509284,35.238,20.706,4.743,4.9910000000000005,4.38,5.9,2.4,1694.4761904761906
201702.0,대한해협,마 산 만,3,2.0,11.701513509230098,11.2764433562497,53.63399999999999,44.352,4.712,4.495,3.9,5.49,2.1,1694.4761904761906
201702.0,대한해협,마 산 만,4,1.0,10.9582859155863,10.5693798809389,81.984,67.256,4.464,4.433,3.384,6.192,2.6,1694.4761904761906
201702.0,대한해협,마 산 만,5,1.0,10.7163048385859,10.7248119380115,77.952,31.332,4.402,3.906,1.74,5.166,2.6,1694.4761904761906
201702.0,대한해협,마 산 만,6,1.0,10.941001552943401,11.070216509284,70.14,25.088,4.092,4.185,1.398,3.606,3.2,1694.4761904761906
201702.0,대한해협,마 산 만,7,2.0,10.4743237615856,9.93038142408472,261.548,78.876,4.309,6.2620000000000005,2.13,1.206,2.6,1694.4761904761906
201702.0,대한해협,마 산 만,8,2.0,10.1113521460851,9.61951730993946,343.4480000000001,72.604,4.96,6.2620000000000005,0.912,1.008,3.3,1694.4761904761906
201702.0,대한해협,마 산 만,9,2.0,10.9582859155863,10.6039203380661,92.54,93.702,1.24,4.247,1.584,5.928,2.2,1694.4761904761906
201702.0,대한해협,마 산 만,10,1.0,10.992854640871997,10.500298966684399,160.468,84.588,1.3330000000000002,4.2780000000000005,4.224,4.98,2.4,1694.4761904761906
201702.0,대한해협,마 산 만,11,2.0,10.6990204759431,9.999462338339232,112.574,130.746,0.589,4.712,4.476,3.54,2.1,1694.4761904761906
201702.0,대한해협,마 산 만,12,2.0,10.336048860442599,10.0167325669029,197.89,134.806,0.31,5.239,2.748,3.3960000000000004,2.1,1694.4761904761906
201702.0,대한해협,마 산 만,13,2.0,11.131129542015099,10.7593523951388,102.676,57.19,0.18600000000000005,4.309,6.972,6.096,2.1,1694.4761904761906
201702.0,대한해협,마 산 만,14,2.0,10.8200110144432,10.24124553823,84.67200000000003,59.15,0.62,4.061,1.464,3.564,2.1,1694.4761904761906
201702.0,대한해협,마 산 만,15,2.0,9.903939794370553,9.671327995630339,112.602,73.542,1.178,4.309,4.08,7.0920000000000005,2.1,1694.4761904761906
201702.0,대한해협,진 해 만,1,1.0,9.6792430800131,9.51589593855771,69.706,91.574,5.58,6.541,1.182,1.656,2.4,1694.4761904761906
201702.0,대한해협,진 해 만,2,2.0,11.1484139046579,10.8111630808296,192.248,43.274,4.309,3.937,1.464,3.5460000000000003,2.2,1694.4761904761906
201702.0,대한해협,진 해 만,3,1.0,10.0422146955136,9.51589593855771,13.005999999999998,15.232,3.844,2.387,0.1456,1.818,4.1,1694.4761904761906
201702.0,대한해협,진 해 만,4,2.0,10.3879019483712,9.94765165264835,12.46,6.944,3.4410000000000003,3.255,0.3852,1.56,1.9,1694.4761904761906
201702.0,대한해협,진 해 만,5,1.0,10.8200110144432,10.4484882809935,10.122,9.716,2.945,2.356,0.53,1.74,3.6,1694.4761904761906
201702.0,대한해협,진 해 만,6,1.0,10.595314300085805,10.0340027954665,7.14,6.664,3.379,3.131,2.394,2.652,2.3,1694.4761904761906
201702.0,대한해협,진 해 만,7,1.0,10.266911409871,9.46408525286683,32.802,39.088,2.325,2.48,2.202,1.758,3.7,1694.4761904761906
201702.0,대한해협,진 해 만,8,2.0,10.3533332230854,8.54876313899468,39.97,35.994,3.224,4.247,2.106,2.958,3.8,1694.4761904761906
201702.0,대한해협,진 해 만,9,1.0,10.266911409871,9.75767913844847,12.404000000000002,15.792,2.821,3.317,2.166,1.146,4.0,1694.4761904761906
201702.0,대한해협,거제도동안,1,1.0,9.039721662226519,9.412274567175961,92.19,92.288,13.299,13.082,0.398,0.35,4.8,1694.4761904761906
201702.0,대한해협,거제도동안,2,1.0,8.832309310511949,8.96324862452169,86.016,83.77600000000002,14.105,14.012,0.0478,0.29600000000000004,6.8,1694.4761904761906
201702.0,대한해협,거제도동안,3,1.0,8.745887497297549,8.61784405324918,82.992,91.518,12.927,14.074000000000002,0.278,0.21600000000000005,10.0,1694.4761904761906
201702.0,대한해협,거제도동안,4,1.0,8.866878035797722,8.82508679601269,84.79799999999999,79.968,13.423,12.927,0.1204,0.37,4.1,1694.4761904761906
201702.0,대한해협,거제도남안,1,1.0,10.1804895966566,10.517569195247999,12.628,13.16,8.091000000000001,7.874,0.92,0.742,5.7,1694.4761904761906
201702.0,대한해협,거제도남안,2,1.0,9.26441837658397,9.1704913672852,67.116,79.184,14.136,16.523,0.27,0.19,5.6,1694.4761904761906
201702.0,대한해협,거제도남안,3,1.0,8.815024947869071,8.82508679601269,105.294,97.664,17.546,16.12,0.1162,0.1806,5.6,1694.4761904761906
201702.0,대한해협,거제도남안,4,1.0,8.53847514558298,8.61784405324918,71.96,83.93,12.307,13.981,0.1262,0.175,4.8,1694.4761904761906
201702.0,대한해협,통영연안,1,1.0,10.733589201228801,10.8457035379569,17.5,9.38,8.37,8.184,0.6859999999999999,2.85,3.0,1694.4761904761906
