년월,생태구역,해수수질기준,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층COD,저층COD,표층NH4-N,저층NH4-N,표층NO2-N,저층NO2-N,표층NO3-N,저층NO3-N,표층DIN,저층DIN,표층T-N,저층T-N,표층DIP,저층DIP,표층T-P,저층T-P,표층SiO2-Si,저층SiO2-Si,표층SS,저층SS,표층Chl-a,저층Chl-a,표층투명도,수거량,수거량2,정화면적,일별처리량,시설용량(톤/일)(A),방류BOD(mg/L)평균,"평균
처리효율
(%)",방류COD(mg/L)평균,방류SS(mg/L)평균,방류T-N(mg/L)평균,방류T-P(mg/L)평균,방류대장균군수(개/mL)평균
201702,동해,1,10.4677,10.4693,34.3706,34.3702,8.22,8.21,9.147383886,9.180520241,0.614058667,0.635989333,2.422,2.1,1.89,1.736,65.912,61.796,70.224,65.632,154.672,139.776,10.695,10.23,19.84,16.895,244.524,232.484,3.45,4.1,0.486,0.518,14,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,11.1152,10.8041,34.3139,34.3276,8.3,8.29,9.047230048,8.796607576,0.614058667,0.800469333,9.058,3.57,3.08,3.122,66.584,73.458,78.722,80.15,165.662,186.984,10.292,11.036,19.84,23.56,232.204,245.616,2.9,2.55,0.26,0.264,12,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,11.1186,11.0065,34.3386,34.3496,8.3,8.31,9.030537742,8.996909836,0.696298667,0.586645333,5.446,1.624,2.576,2.31,55.426,56.756,63.448,60.69,132.804,177.828,9.083,9.765,15.438,21.142,194.964,193.2,1.6,7.5,0.268,0.262,12,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,11.0721,10.9287,34.3439,34.3346,8.3,8.3,8.679999308,8.746532011,0.794986667,0.751125333,3.052,3.234,3.822,3.71,72.646,74.55,79.52,81.494,115.136,191.87,9.858,9.858,13.237,24.242,245.056,244.188,3.45,2.9,0.342,0.234,23,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,10.7206,10.5129,34.3199,34.3007,8.29,8.29,8.94707621,8.763223866,0.630506667,0.652437333,3.64,2.044,3.094,1.806,75.614,61.32,82.348,65.17,192.024,190.582,11.346,9.889,21.979,23.374,258.188,203.784,3.75,4.95,0.314,0.236,13,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,3,11.1442,6.1385,34.3816,34.085,8.29,8.1,8.813537759,7.711637002,1.091050667,0.767573333,4.158,3.696,2.478,1.274,57.218,127.89,63.854,132.86,148.694,288.442,8.649,6.753,17.639,38.037,201.376,253.252,3.3,5.25,0.22,0.0386,16,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,2,11.2348,7.2681,33.867,34.0459,8.3,8.15,8.679999308,7.861863697,1.074602667,0.981397333,3.64,2.492,2.996,0.854,69.538,142.352,76.174,145.698,141.19,273.868,9.455,19.127,17.05,36.642,237.832,408.66,4.55,2.35,0.1986,0.0428,17.5,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,11.1978,10.955,34.3421,34.3409,8.31,8.31,8.679999308,8.696456446,1.156842667,1.063637333,3.178,3.332,3.388,3.556,65.604,69.454,72.17,76.342,96.824,189.056,8.618,9.579,11.873,21.917,222.6,241.192,2.7,5.25,0.143,0.1876,17,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,11.4501,11.3081,34.3511,34.4097,8.27,8.27,8.813537759,8.763223866,0.663402667,0.964949333,4.522,4.41,3.108,2.954,56.924,66.052,64.554,73.416,155.33,182,8.463,9.982,20.026,23.095,203.028,231.728,5.75,3.6,0.276,0.522,14,0.017966962,114.43,26,1779.545205,6500,1.6,0.998950751,17.1,3.2,10.204,0.299,208
201702,동해,1,11.387,11.0706,34.3975,34.4013,8.27,8.26,8.930383904,8.663072736,0.844330667,1.063637333,3.262,5.642,2.632,3.724,57.078,65.436,62.972,74.802,165.424,178.318,9.176,9.641,20.801,22.568,210.56,236.012,2.95,6.2,0.288,0.244,18,0.017966962,114.43,26,1779.545205,6500,1.6,0.998950751,17.1,3.2,10.204,0.299,208
